Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1-03-11,HDFC,EQ,728.35,737.9,737.9,724,727.1,728.2,728.93,768310,5.60E+13,,413255,0.5379
1-04-11,HDFC,EQ,728.2,731,738.8,725.3,729.9,731.75,732.15,2071437,1.52E+14,,1220345,0.5891
1-05-11,HDFC,EQ,731.75,727.8,727.8,706.15,707.05,708.1,713.22,1346235,9.60E+13,,850733,0.6319
1-06-11,HDFC,EQ,708.1,713.7,714.7,700.8,705.9,706.9,707.41,1579745,1.12E+14,,958078,0.6065
1-07-11,HDFC,EQ,706.9,703.1,708.7,680,683.9,683.9,694.66,2377426,1.65E+14,,1553546,0.6535
1-10-11,HDFC,EQ,683.9,680.6,683,650.85,654,653.6,659,3067513,2.02E+14,,1720605,0.5609
1-11-11,HDFC,EQ,653.6,659.95,669.1,649.05,662.05,659.35,658.26,4162819,2.74E+14,,2479035,0.5955
1-12-11,HDFC,EQ,659.35,664.8,687.25,649.7,683,680.65,665.05,2651175,1.76E+14,,1169727,0.4412
1-13-11,HDFC,EQ,680.65,687.5,687.5,664.15,666,667.35,675.16,3100863,2.09E+14,,1814829,0.5853
1-14-11,HDFC,EQ,667.35,671.1,677.8,635.1,639,641.75,658.2,4893952,3.22E+14,,2055134,0.4199
1-17-11,HDFC,EQ,641.75,643.9,667.15,637.6,664,663.65,653.18,6630267,4.33E+14,,4692999,0.7078
1-18-11,HDFC,EQ,663.65,668.7,668.95,650,658.5,658.35,657.13,1534814,1.01E+14,,674800,0.4397
1-19-11,HDFC,EQ,658.35,658.35,661.9,651,654.25,653.1,655.38,2039642,1.34E+14,,1242239,0.609
1-20-11,HDFC,EQ,653.1,651,665.6,646.7,661.5,660.6,654.84,1667697,1.09E+14,,837958,0.5025
1-21-11,HDFC,EQ,660.6,660,661.45,648.1,649.55,651.2,651.26,1919229,1.25E+14,,1102863,0.5746
1-24-11,HDFC,EQ,651.2,657.3,676,650.9,664.95,669.45,668.1,2705161,1.81E+14,,1599840,0.5914
1-25-11,HDFC,EQ,669.45,668.5,682.8,664.85,671.5,670.2,674.09,2699275,1.82E+14,,1356233,0.5024
1-27-11,HDFC,EQ,670.2,677.8,677.8,660.05,669.7,667.1,665.34,3218239,2.14E+14,,1978307,0.6147
1-28-11,HDFC,EQ,667.1,673,673,639.1,645,645.25,651.05,4665888,3.04E+14,,2714532,0.5818
1-31-11,HDFC,EQ,645.25,635.05,641,616.1,629.2,628.35,624.58,4233907,2.64E+14,,2026241,0.4786
2-01-11,HDFC,EQ,628.35,633.45,648.35,629.6,631.5,633.25,639.59,4698371,3.01E+14,,3142799,0.6689
2-02-11,HDFC,EQ,633.25,642.3,644,613.3,614.4,617.45,623.99,4141895,2.58E+14,,2489010,0.6009
2-03-11,HDFC,EQ,617.45,621.9,629.8,615.05,625.45,624.3,624.25,2006481,1.25E+14,,1062241,0.5294
2-04-11,HDFC,EQ,624.3,624,632.9,600.1,603.4,604.15,615.56,2633100,1.62E+14,,1341932,0.5096
2-07-11,HDFC,EQ,604.15,615,615,586.55,595,590.65,599.14,2778429,1.66E+14,,1337873,0.4815
2-08-11,HDFC,EQ,590.65,596,603,584.5,587.5,589.15,593.96,4389202,2.61E+14,,2914255,0.664
2-09-11,HDFC,EQ,589.15,584.1,616.45,582.3,614,608.3,604.44,6703472,4.05E+14,,4066991,0.6067
2-10-11,HDFC,EQ,608.3,610.25,618.4,589.15,594.5,595.85,597.13,5138812,3.07E+14,,3096821,0.6026
2-11-11,HDFC,EQ,595.85,600.45,626.05,597.2,618.4,623.15,613.11,4729277,2.90E+14,,2813524,0.5949
2-14-11,HDFC,EQ,623.15,632.7,645,624.5,644.25,642.8,635.82,2622477,1.67E+14,,1567367,0.5977
2-15-11,HDFC,EQ,642.8,641.2,653,633.7,646,646.6,644.59,2396664,1.54E+14,,1332365,0.5559
2-16-11,HDFC,EQ,646.6,642.3,646.85,624,629,626.9,628.84,3532475,2.22E+14,,2032938,0.5755
2-17-11,HDFC,EQ,626.9,630.1,652.8,628.5,652.2,650.05,643.64,2934055,1.89E+14,,1824614,0.6219
2-18-11,HDFC,EQ,650.05,653.55,663.8,639.1,647,643.85,654.97,4046717,2.65E+14,,2473535,0.6112
2-21-11,HDFC,EQ,643.85,636.3,651.9,635,648.05,648.1,644.06,2025818,1.30E+14,,1016985,0.502
2-22-11,HDFC,EQ,648.1,643.8,646.55,636.05,642.9,641.1,641.1,2000449,1.28E+14,,979951,0.4899
2-23-11,HDFC,EQ,641.1,642.7,661.5,641.8,645,647,654.95,5009694,3.28E+14,,3684948,0.7356
2-24-11,HDFC,EQ,647,641.5,647.8,610,619.75,616.8,623.57,5518105,3.44E+14,,3484550,0.6315
2-25-11,HDFC,EQ,616.8,624.85,631.2,611.4,630,623.6,621.7,3275493,2.04E+14,,1892881,0.5779
2-28-11,HDFC,EQ,623.6,630.1,652.9,623.1,631.25,629.2,639.09,3977911,2.54E+14,,1802095,0.453
3-01-11,HDFC,EQ,629.2,637.2,654.85,635,654.5,650.75,646.27,2646398,1.71E+14,,1510366,0.5707
3-03-11,HDFC,EQ,650.75,644.05,679,644.05,669.25,672.1,667.87,4106165,2.74E+14,,2273456,0.5537
3-04-11,HDFC,EQ,672.1,679.65,687,675,681.3,681.5,682.63,3622250,2.47E+14,,2367801,0.6537
3-07-11,HDFC,EQ,681.5,672.35,677,660.1,665.4,667,667.4,1600351,1.07E+14,,783469,0.4896
3-08-11,HDFC,EQ,667,663.1,679,663.1,677,675.15,673.36,2658038,1.79E+14,,1868068,0.7028
3-09-11,HDFC,EQ,675.15,677,683.1,665,670.15,672.7,671.71,1337415,8.98E+13,,600427,0.4489
3-10-11,HDFC,EQ,672.7,674.9,678.4,664.85,668.45,666.8,669.67,1647150,1.10E+14,,823780,0.5001
3-11-11,HDFC,EQ,666.8,662,667,647.3,662,660.4,655.59,2115239,1.39E+14,,969462,0.4583
3-14-11,HDFC,EQ,660.4,659.85,675.45,656,672,671.45,670.14,2372307,1.59E+14,,1328649,0.5601
3-15-11,HDFC,EQ,671.45,655.15,670,650.4,666.05,663.1,661.45,2345828,1.55E+14,,1181031,0.5035
3-16-11,HDFC,EQ,663.1,666.2,673.4,658.6,660,659.85,665.37,2747492,1.83E+14,,1715268,0.6243
3-17-11,HDFC,EQ,659.85,650.5,655,634.15,639.4,637,644.32,4431693,2.86E+14,,2740736,0.6184
3-18-11,HDFC,EQ,637,642.1,643.2,617.35,618.5,620.3,624.84,5528054,3.45E+14,,3290661,0.5953
3-21-11,HDFC,EQ,620.3,625.95,631.7,622.85,627.5,626.45,627.68,2547991,1.60E+14,,1352971,0.531
